date,daily_total_pnl,daily_avg_pnl,daily_pnl_volatility,daily_trade_count,daily_volume,daily_avg_trade_size,daily_avg_leverage,daily_max_leverage,daily_winning_trades,daily_win_rate,daily_avg_abs_pnl,value_first,classification_first,risk_adjusted_pnl,date_dt,sentiment_lag1,sentiment_lag2,sentiment_change,next_day_pnl,next_day_volume
2024-11-13,7846.402274,163.46671404166668,358.50791769432567,48,515336.37,10736.174375,116.57082833899905,200.0,27,0.5625,164.79797945833334,84.0,Extreme Greed,21.825394901793132,2024-11-13,80.0,76.0,4.0,4563.509225,1008361.81
2024-11-14,4563.509225,41.4864475,89.20897697893908,110,1008361.81,9166.925545454545,72.34006703746455,200.0,28,0.2545454545454545,41.4864475,88.0,Extreme Greed,50.588193967274826,2024-11-14,84.0,80.0,4.0,4140.740438,1427858.42
2024-11-15,4140.740438,27.790204281879195,61.955774894975356,149,1427858.42,9582.942416107382,104.98538585974283,200.0,55,0.3691275167785235,27.790204281879195,80.0,Extreme Greed,65.77220985537392,2024-11-15,88.0,84.0,-8.0,2769.521909,303296.07
2024-11-16,2769.521909,17.640266936305732,44.303347474612096,157,303296.07,1931.822101910828,33.701326526711455,200.0,48,0.3057324840764331,18.129863165605094,86.0,Extreme Greed,61.132831531975306,2024-11-16,80.0,88.0,6.0,882.975285,1215987.57
2024-11-17,882.975285,4.224762129186603,17.261524113421817,209,1215987.57,5818.122344497608,57.78431581187564,200.0,49,0.23444976076555024,4.518318100478469,90.0,Extreme Greed,48.35167533201857,2024-11-17,86.0,80.0,4.0,4470.815187,2084339.58
2024-11-18,4470.815187,12.921431176300578,87.8216130663201,346,2084339.58,6024.102832369942,65.89237402607374,200.0,124,0.3583815028901734,13.537261257225433,83.0,Extreme Greed,50.33476687325858,2024-11-18,90.0,86.0,-7.0,2958.268991,628031.15
2024-11-19,2958.268991,9.699242593442623,37.73186830724049,305,628031.15,2059.118524590164,71.21666518961845,200.0,150,0.4918032786885246,10.68087055409836,90.0,Extreme Greed,76.37816403622814,2024-11-19,83.0,90.0,7.0,4210.0928969999995,1999514.1199999999
2024-11-20,4210.0928969999995,7.654714358181818,54.544471794452775,550,1999514.1199999999,3635.480218181818,76.2953036915629,200.0,219,0.3981818181818182,13.756270769090909,83.0,Extreme Greed,75.79679419006486,2024-11-20,90.0,83.0,-7.0,1692.430891,598300.62
2024-11-21,1692.430891,3.1634222261682243,23.071714613651217,535,598300.62,1118.3189158878504,67.43685678529944,200.0,165,0.308411214953271,4.5021691345794395,82.0,Extreme Greed,70.30786623069268,2024-11-21,83.0,90.0,-1.0,-18105.345617,1646713.62
2024-11-22,-18105.345617,-26.664721085419732,305.88652723565343,679,1646713.62,2425.2041531664213,46.96812027056616,200.0,209,0.3078055964653903,37.91724403681885,94.0,Extreme Greed,-58.9968734700992,2024-11-22,82.0,83.0,12.0,2901.531638,516245.68
2024-11-23,2901.531638,7.993200104683195,25.92430088738888,363,516245.68,1422.1644077134986,38.91064718566138,200.0,128,0.3526170798898072,8.200355608815427,93.0,Extreme Greed,107.76627590575818,2024-11-23,94.0,82.0,-1.0,945.550386,664952.28
2024-11-24,945.550386,5.497385965116279,24.231829677959688,172,664952.28,3866.001627906977,47.046477223044256,200.0,46,0.26744186046511625,6.494302302325582,80.0,Extreme Greed,37.474507321438914,2024-11-24,93.0,94.0,-13.0,5523.740734,937410.87
2024-11-25,5523.740734,21.66172836862745,136.53631849159856,255,937410.87,3676.1210588235294,65.40504382312459,200.0,105,0.4117647058823529,23.064553239215684,82.0,Extreme Greed,40.1620517008198,2024-11-25,80.0,93.0,2.0,1094.809359,1146902.44
2024-11-26,1094.809359,3.6251965529801327,55.535465040558826,302,1146902.44,3797.6901986754965,67.32928333372466,200.0,88,0.2913907284768212,9.118908334437085,79.0,Extreme Greed,19.36500138832463,2024-11-26,82.0,80.0,-3.0,-2654.495633,1444242.53
2024-11-27,-2654.495633,-12.462420812206572,56.196623877144376,213,1444242.53,6780.481361502348,90.9376303069241,200.0,74,0.3474178403755869,17.80258246478873,75.0,Extreme Greed,-46.410005574834805,2024-11-27,79.0,82.0,-4.0,-127075.39958499999,1894225.15
2024-11-28,-127075.39958499999,-382.75722766566264,1422.4245637679367,332,1894225.15,5705.497439759036,54.786728053868714,200.0,109,0.32831325301204817,414.9928009728916,77.0,Extreme Greed,-89.2744180616215,2024-11-28,75.0,79.0,2.0,176844.994152,794262.91
2024-11-29,176844.994152,449.98726247328244,2425.1393783219637,393,794262.91,2021.0252162849874,23.389093360667122,200.0,192,0.48854961832061067,450.1322577913486,78.0,Extreme Greed,72.89152294058003,2024-11-29,77.0,75.0,1.0,37316.69352,1732193.7
2024-11-30,37316.69352,100.04475474530831,327.5103351176057,373,1732193.7,4643.950938337802,20.20248202781979,200.0,157,0.42091152815013405,100.46395856300268,84.0,Extreme Greed,113.59366671566282,2024-11-30,78.0,77.0,6.0,40886.364494,814711.82
2024-12-01,40886.364494,98.28453003365385,338.03944268346726,416,814711.82,1958.441875,23.86259355197546,200.0,221,0.53125,98.5767491201923,81.0,Extreme Greed,120.59471361322457,2024-12-01,84.0,78.0,-3.0,18489.604313,585243.56
2024-12-02,18489.604313,68.48001597407408,379.90364074572494,270,585243.56,2167.568740740741,17.308958021306633,200.0,110,0.4074074074074074,68.59823227037037,80.0,Extreme Greed,48.54142185882353,2024-12-02,81.0,84.0,-1.0,23576.539285,1084666.53
2024-12-03,23576.539285,63.03887509358289,229.00768096588675,374,1084666.53,2900.177887700535,11.211958541550205,200.0,161,0.4304812834224599,64.31711621122994,76.0,Extreme Greed,102.50326939514997,2024-12-03,80.0,81.0,-4.0,292891.815021,769287.65
2024-12-04,292891.815021,918.1561599404388,4090.2838520231076,319,769287.65,2411.5600313479626,8.022821578641466,200.0,148,0.46394984326018807,918.9654810815047,78.0,Extreme Greed,71.58921884047896,2024-12-04,76.0,80.0,2.0,71574.11848800001,1256750.79
